Arrival Delay (Minutes),destinationstate_0,destinationstate_1,destinationstate_2,destinationlatitude,destinationlongitude,originstate_0,originstate_1,originstate_2,originstate_3,originstate_4,originstate_5,originstate_6,originlatitude,originlongitude,Month,Day,Scheduled Arrival Hour,Scheduled Arrival Minute,Weekdaynum,xs,ys,Month_sin,Month_cos,Day_sin,Day_cos,Weekdaynum_sin,Weekdaynum_cos,HS_Dist,Delayed?,Carrier Code_AA,Carrier Code_DL,Carrier Code_OO,Carrier Code_UA,Carrier Code_WN,Destination Airport_ATL,Destination Airport_DFW,Destination Airport_LAX,Destination Airport_ORD
-3,0,0,1,33.64044,-84.42694,0,0,0,0,0,0,1,35.21401,-80.94313,1,2,16,14,1,-0.894934362,-0.446197813,0.5,0.866025404,0.394355855,0.918957812,0.866025404,0.5,0,0,1,0,0,0,0,1,0,0,0
0,0,0,1,33.64044,-84.42694,0,0,0,0,1,1,0,41.9796,-87.90446,1,2,0,45,1,0.195090322,0.98078528,0.5,0.866025404,0.394355855,0.918957812,0.866025404,0.5,0,0,1,0,0,0,0,1,0,0,0
11,0,0,1,33.64044,-84.42694,0,0,0,0,0,1,0,32.89595,-97.0372,1,2,23,59,1,-0.004363309,0.999990481,0.5,0.866025404,0.394355855,0.918957812,0.866025404,0.5,0,1,1,0,0,0,0,1,0,0,0
24,0,0,1,33.64044,-84.42694,0,0,0,0,1,1,0,41.9796,-87.90446,1,2,22,2,1,-0.49242356,0.870355696,0.5,0.866025404,0.394355855,0.918957812,0.866025404,0.5,0,1,1,0,0,0,0,1,0,0,0
6,0,0,1,33.64044,-84.42694,0,0,0,0,0,0,1,35.21401,-80.94313,1,3,10,57,2,0.27144045,-0.962455236,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,1,1,0,0,0,0,1,0,0,0
3,0,0,1,33.64044,-84.42694,0,0,0,0,0,1,0,32.89595,-97.0372,1,3,19,48,2,-0.891006524,0.4539905,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,1,1,0,0,0,0,1,0,0,0
-9,0,0,1,33.64044,-84.42694,0,0,0,0,0,1,1,33.43417,-112.00806,1,3,18,48,2,-0.978147601,0.207911691,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,0,1,0,0,0,0,1,0,0,0
-2,0,0,1,33.64044,-84.42694,0,0,0,0,0,0,1,35.21401,-80.94313,1,3,21,49,2,-0.540974471,0.841039013,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,0,1,0,0,0,0,1,0,0,0
22,0,0,1,33.64044,-84.42694,0,0,0,0,1,0,0,25.79325,-80.29056,1,3,11,51,2,0.039259816,-0.999229036,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,1,1,0,0,0,0,1,0,0,0
-3,0,0,1,33.64044,-84.42694,0,0,0,0,0,1,1,33.43417,-112.00806,1,3,6,5,2,0.999762027,-0.021814885,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,0,1,0,0,0,0,1,0,0,0
-16,0,0,1,33.64044,-84.42694,0,0,0,0,1,0,1,33.94254,-118.40807,1,3,7,4,2,0.961261696,-0.275637356,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,0,1,0,0,0,0,1,0,0,0
-11,0,0,1,33.64044,-84.42694,0,0,0,0,0,1,0,32.89595,-97.0372,1,3,9,3,2,0.69779046,-0.716301943,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,0,1,0,0,0,0,1,0,0,0
-11,0,0,1,33.64044,-84.42694,0,0,0,0,1,0,1,33.94254,-118.40807,1,3,14,23,2,-0.584249666,-0.811573982,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,0,1,0,0,0,0,1,0,0,0
-1,0,0,1,33.64044,-84.42694,0,0,0,0,1,1,0,41.9796,-87.90446,1,3,11,40,2,0.087155743,-0.996194698,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,0,1,0,0,0,0,1,0,0,0
-7,0,0,1,33.64044,-84.42694,0,0,0,0,1,0,0,25.79325,-80.29056,1,3,21,40,2,-0.573576436,0.819152044,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,0,1,0,0,0,0,1,0,0,0
